

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.009  000.009: --- NVIM STARTING ---
000.129  000.120: event init
000.292  000.163: early init
000.599  000.307: locale set
000.648  000.049: init first window
012.546  011.899: inits 1
012.585  000.039: window checked
012.590  000.005: parsing arguments
013.327  000.122  000.122: require('vim.shared')
013.494  000.061  000.061: require('vim._meta')
013.497  000.165  000.104: require('vim._editor')
013.499  000.343  000.056: require('vim._init_packages')
013.501  000.568: init lua interpreter
013.946  000.445: expanding arguments
014.072  000.126: inits 2
014.592  000.520: init highlight
014.594  000.002: waiting for UI
019.842  005.248: done waiting for UI
019.859  000.017: init screen for UI
020.085  000.226: init default mappings
020.101  000.016: init default autocommands
022.052  000.139  000.139: sourcing /usr/local/share/nvim/runtime/ftplugin.vim
022.326  000.029  000.029: sourcing /usr/local/share/nvim/runtime/indent.vim
024.521  000.327  000.327: require('packer.util')
024.561  001.606  001.279: require('packer')
024.912  000.349  000.349: require('packer.log')
025.699  000.263  000.263: require('packer.async')
026.223  000.207  000.207: require('packer.result')
026.227  000.526  000.319: require('packer.jobs')
026.233  001.294  000.505: require('packer.plugin_utils')
026.626  000.374  000.374: require('packer.snapshot')
027.037  004.522  000.899: require('abraxas.default.plugins-setup')
027.438  000.399  000.399: require('abraxas.core.options')
027.601  000.008  000.008: require('vim.keymap')
027.891  000.279  000.279: require('ufo')
028.308  000.868  000.582: require('abraxas.core.keymaps')
033.691  005.067  005.067: sourcing /Users/abraxas/.local/share/nvim/site/pack/packer/start/gruvbox/colors/gruvbox.vim
033.821  005.508  000.441: require('abraxas.core.colorscheme')
034.188  000.170  000.170: require('Comment')
034.340  000.146  000.146: require('Comment.config')
035.316  000.332  000.332: require('Comment.ft')
035.323  000.695  000.363: require('Comment.utils')
035.580  000.256  000.256: require('Comment.opfunc')
035.768  000.187  000.187: require('Comment.extra')
035.772  001.343  000.205: require('Comment.api')
036.053  002.229  000.571: require('abraxas.default.plugins.comment')
038.458  000.205  000.205: require('nvim-tree.notify')
038.463  000.445  000.240: require('nvim-tree.events')
039.215  000.219  000.219: require('nvim-tree.log')
039.903  000.218  000.218: require('nvim-tree.iterators.node-iterator')
039.956  000.739  000.521: require('nvim-tree.utils')
040.352  000.395  000.395: require('nvim-tree.git.utils')
040.671  000.318  000.318: require('nvim-tree.git.runner')
040.979  000.307  000.307: require('nvim-tree.watcher')
041.234  000.253  000.253: require('nvim-tree.explorer.node')
041.239  002.563  000.333: require('nvim-tree.git')
041.470  000.229  000.229: require('nvim-tree.explorer.watch')
041.924  000.218  000.218: require('nvim-tree.explorer.node-builders')
042.173  000.247  000.247: require('nvim-tree.explorer.sorters')
042.411  000.237  000.237: require('nvim-tree.explorer.filters')
043.180  000.501  000.501: require('nvim-tree.view')
043.184  000.771  000.270: require('nvim-tree.live-filter')
043.186  001.715  000.241: require('nvim-tree.explorer.explore')
043.475  000.288  000.288: require('nvim-tree.explorer.reload')
043.478  005.014  000.219: require('nvim-tree.explorer')
043.481  005.659  000.200: require('nvim-tree.core')
043.781  000.299  000.299: require('nvim-tree.diagnostics')
044.127  000.164  000.164: require('nvim-tree.modified')
044.129  000.347  000.183: require('nvim-tree.renderer.components.modified')
044.366  000.235  000.235: require('nvim-tree.renderer.components.padding')
044.574  000.207  000.207: require('nvim-tree.renderer.components.icons')
044.811  000.235  000.235: require('nvim-tree.renderer.components.full-name')
045.081  000.268  000.268: require('nvim-tree.renderer.components.git')
045.502  000.420  000.420: require('nvim-tree.renderer.builder')
045.765  000.261  000.261: require('nvim-tree.marks')
045.848  008.302  000.370: require('nvim-tree.renderer')
045.854  008.632  000.330: require('nvim-tree.lib')
046.179  000.323  000.323: require('nvim-tree.colors')
047.767  000.229  000.229: require('nvim-tree.actions.finders.find-file')
047.769  000.427  000.198: require('nvim-tree.actions.tree.open')
047.964  000.193  000.193: require('nvim-tree.actions.tree.toggle')
048.176  000.208  000.208: require('nvim-tree.actions.reloaders.reloaders')
048.346  000.168  000.168: require('nvim-tree.actions.root.dir-up')
048.544  000.195  000.195: require('nvim-tree.actions.tree.find-file')
048.786  000.240  000.240: require('nvim-tree.actions.finders.search-node')
049.015  000.228  000.228: require('nvim-tree.actions.tree-modifiers.collapse-all')
049.276  000.259  000.259: require('nvim-tree.actions.tree-modifiers.expand-all')
049.479  000.202  000.202: require('nvim-tree.actions.tree-modifiers.toggles')
050.028  000.223  000.223: require('nvim-tree.keymap')
050.032  000.550  000.327: require('nvim-tree.help')
050.229  000.195  000.195: require('nvim-tree.actions.fs.create-file')
050.431  000.201  000.201: require('nvim-tree.actions.fs.remove-file')
